field,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.486275,0.146123,-1.298913,0.043631,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,-0.104712,0.116384,0.178138,0.006663,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,0.166562,0.09702,-0.109388,0.025545,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,0.1289,0.100353,0.400325,0.013349,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.504788,0.083951,0.59755,0.015828,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,0.678625,0.116483,0.491812,0.052239,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,-0.342488,0.167739,-0.02155,0.021984,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,-0.11745,0.069965,-0.491587,0.012898,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.208725,0.067945,0.0561,0.025701,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.901425,0.156302,0.419725,0.014638,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-1.494975,0.217906,0.579775,0.006756,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.777325,0.108638,0.405325,0.059548,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,1.4608,0.123711,-0.070712,0.027522,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,1.911388,0.068121,-0.068812,0.022129,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,1.627825,0.119647,0.0982,0.03213,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-1.078187,0.156621,0.046463,0.010799,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,-0.997837,0.147409,0.272162,0.021792,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,-1.248462,0.135207,-0.007812,0.023433,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,0.866025,0.034832,0.146275,0.019352,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,1.583362,0.088336,0.22,0.00693,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,0.48675,0.156972,-0.099675,0.010432,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.189312,0.092507,0.065512,0.017552,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,-0.035125,0.083868,-0.209725,0.008353,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.037112,0.111909,0.019412,0.031874,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,-0.587162,0.187563,0.0877,0.021933,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,-0.215388,0.122349,0.475512,0.015421,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,1.034638,0.154665,0.202,0.014882,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.539412,0.226012,-0.124,0.004913,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,-0.079325,0.10935,-0.873962,0.019766,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,-0.1313,0.070126,-0.011688,0.009276,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.107188,0.118034,0.102162,0.022341,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,0.25315,0.088678,-0.157375,0.037092,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.487188,0.104657,-0.172688,0.01612,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,-0.205575,0.104352,-0.306562,0.009874,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,-0.430588,0.091271,0.31415,0.011044,8
REF_0324-28,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,-0.724062,0.095106,-0.393588,0.045787,8
