# dQ/dU per-beam mean correction factors
# Generated  : 2026-03-20 15:00
# Source CSV : /Users/raj030/DATA/reffield-average/leakage_master_table.csv
# Selection  : manifest indices 14–49, excl '24-29'
# SB_REFs    : 30 contributing observations
# Footprint  : closepack36
# Weights ID : 5241
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : 0.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   footprint   beam footprint name (from schedblock metadata)
#   wt_id       ODC weights ID (weights.id)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     footprint          wt_id  freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
----------------------------------------------------------------------------------------------------------------------------------------------------------
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        0    +0.4863    0.1461    -1.2989    0.0436      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        1    -0.1047    0.1164    +0.1781    0.0067      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        2    +0.1666    0.0970    -0.1094    0.0255      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        3    +0.1289    0.1004    +0.4003    0.0133      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        4    +0.5048    0.0840    +0.5976    0.0158      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        5    +0.6786    0.1165    +0.4918    0.0522      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        6    -0.3425    0.1677    -0.0215    0.0220      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        7    -0.1174    0.0700    -0.4916    0.0129      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        8    -0.2087    0.0679    +0.0561    0.0257      8
REF_0324-28               closepack36         5241     920.5     0.9000     45.0      0.0  bpcal        9    -0.9014    0.1563    +0.4197    0.0146      8
