field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.739338,0.252021,-1.291638,0.053583,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.443438,0.069939,0.178175,0.007989,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,-0.730238,0.135161,-0.097488,0.032485,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.05725,0.121545,0.419912,0.014673,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.399175,0.140231,0.601912,0.010487,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,-0.133625,0.084559,0.498862,0.049245,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,0.52655,0.088192,-0.0216,0.020877,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,0.342275,0.078188,-0.501525,0.025357,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,0.010725,0.0896,0.0389,0.034843,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.220712,0.099376,0.417,0.013234,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-0.017712,0.071053,0.570612,0.017578,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.261288,0.054074,0.4264,0.06604,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,-0.078375,0.204983,-0.014188,0.025606,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,0.110688,0.080458,-0.076538,0.021513,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,0.149625,0.080355,0.0713,0.043729,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-0.038612,0.10746,0.036575,0.013623,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,0.71745,0.116197,0.27055,0.013418,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,0.72265,0.134038,0.000725,0.034483,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,-0.671762,0.095646,0.135762,0.018819,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,-1.612325,0.092012,0.220525,0.014338,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,-0.572538,0.120069,-0.097688,0.010131,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.200538,0.113596,0.0721,0.015936,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,0.445188,0.076241,-0.2112,0.018285,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,0.4432,0.08289,0.017688,0.041023,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,1.250262,0.158421,0.06355,0.034795,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,-1.589762,0.107778,0.477312,0.022278,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,-1.508412,0.115231,0.202838,0.015787,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.170112,0.133125,-0.139838,0.009327,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,0.166975,0.034573,-0.880238,0.020051,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,0.322888,0.061395,-0.01215,0.006714,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.252075,0.071316,0.128125,0.074349,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,-0.312688,0.038353,-0.150888,0.034819,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,0.685212,0.092397,-0.168775,0.021532,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,0.448188,0.103637,-0.309625,0.013511,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,0.367375,0.132681,0.30935,0.014147,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,0.451925,0.100742,-0.323238,0.074359,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.714912,0.248412,-0.068962,0.049041,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,1,0.42845,0.062308,0.02755,0.006468,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,2,-0.755088,0.135716,0.020775,0.011579,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,3,-0.063688,0.110679,-0.0028,0.010227,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,4,0.394212,0.125655,0.031525,0.001376,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,5,-0.132238,0.073843,0.023388,0.033206,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,6,0.5047,0.099269,-0.013112,0.014288,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,7,0.329862,0.087331,-0.000288,0.025035,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,8,0.000762,0.098797,-0.0223,0.034973,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.219275,0.093106,-0.007887,0.014179,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,10,-0.011,0.070265,0.010375,0.014878,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,11,-0.236212,0.05997,0.008912,0.038702,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,12,-0.0925,0.201893,-0.034988,0.02857,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,13,0.111438,0.078805,-0.0249,0.016471,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,14,0.175013,0.100889,-0.030475,0.030232,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-0.005475,0.108901,0.01555,0.01126,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,16,0.7352,0.12415,0.020538,0.017859,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,17,0.737125,0.149717,0.038012,0.023593,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,18,-0.689138,0.087388,-0.026288,0.016733,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,19,-1.580425,0.084142,-0.01485,0.012269,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,20,-0.545938,0.127522,0.00815,0.012226,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,21,0.2175,0.113617,0.052188,0.015622,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,22,0.455488,0.082265,0.061512,0.015401,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,23,0.458375,0.069314,0.032312,0.031765,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,24,1.224162,0.172118,-0.006688,0.032772,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,25,-1.59345,0.103545,-0.013438,0.016491,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,26,-1.4971,0.107748,0.013125,0.010268,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,27,0.165975,0.139555,0.040325,0.005373,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,28,0.15855,0.030001,0.018825,0.004079,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,29,0.3105,0.060639,0.015887,0.011978,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,30,-0.258412,0.072363,0.000337,0.079352,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,31,-0.312625,0.033597,0.005713,0.013858,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,32,0.667638,0.08942,0.012325,0.010559,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,33,0.453738,0.103867,0.047688,0.005,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,34,0.379575,0.107662,0.081975,0.010194,8
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,35,0.437388,0.100509,1.007325,0.063845,8
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.499256,0.142124,-1.284033,0.060483,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,-0.095144,0.112587,0.179511,0.007472,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,0.157922,0.094383,-0.105244,0.026935,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,0.130056,0.093936,0.403989,0.016636,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.4865,0.095795,0.602567,0.021112,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,0.6813,0.109255,0.491622,0.048869,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,-0.333878,0.159017,-0.019,0.021941,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,-0.1242,0.068507,-0.498244,0.023332,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.195156,0.075476,0.048833,0.032453,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.898178,0.146531,0.417056,0.015863,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,-1.484211,0.206375,0.576844,0.010827,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.762,0.111538,0.402178,0.056496,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,1.481033,0.130675,-0.066589,0.028563,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,1.925244,0.076082,-0.068567,0.020712,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,1.622144,0.113209,0.086867,0.04538,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-1.097922,0.158016,0.041778,0.017308,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,-1.001844,0.138411,0.271089,0.020638,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,-1.240422,0.128754,-0.012422,0.025918,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,0.876133,0.044511,0.148456,0.019248,9
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,1.5984,0.094144,0.221878,0.008588,9
