field,ref_ws,footprint,centre_freq_mhz,footprint_pitch_deg,footprint_rota_deg,pol_axis_deg,variant,beam,mean_dQ,std_dQ,mean_dU,std_dU,n_obs
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.21375,0.013073,-1.33285,0.003586,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.051275,0.024008,0.177725,0.001164,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,-0.1105,0.034064,-0.076475,0.008422,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,-0.07495,0.101732,0.41195,0.002866,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,-0.087,0.087016,0.602575,0.005423,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,-0.0417,0.034961,0.536875,0.003094,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,0.007075,0.0205,-0.039675,0.003074,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,-0.0037,0.039547,-0.497175,0.000675,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,-0.01535,0.066676,0.02305,0.004102,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,-0.0619,0.047483,0.426975,0.00196,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,0.009,0.04364,0.583825,0.003725,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,0.0072,0.060205,0.48455,0.009981,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,-0.149975,0.098324,-0.034775,0.00175,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,-0.01855,0.069489,-0.07875,0.004941,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,-0.02515,0.051209,0.0558,0.002205,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,15,-0.07685,0.05643,0.037875,0.005779,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,16,0.07995,0.014703,0.2791,0.001257,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,17,0.110125,0.026074,0.029325,0.001806,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,18,-0.031025,0.071741,0.14195,0.003122,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,19,0.010475,0.105761,0.230175,0.005676,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,20,-0.043825,0.142678,-0.100075,0.002262,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,21,0.088125,0.037747,0.082475,0.000299,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,22,0.034475,0.0908,-0.20205,0.002769,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,23,-0.045725,0.020098,0.05555,0.002359,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,24,0.054025,0.159747,0.050775,0.027875,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,25,-0.07795,0.084786,0.494525,0.003164,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,26,-0.036175,0.088574,0.196875,0.003586,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,27,0.092825,0.09831,-0.132225,0.00244,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,28,-0.0201,0.029217,-0.885875,0.00095,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,29,-0.00325,0.077949,-0.011525,0.003106,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,30,-0.02435,0.059491,0.1213,0.002597,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,31,-0.014475,0.041449,-0.120575,0.001817,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,32,-0.044275,0.056327,-0.156,0.003359,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,33,-0.068125,0.051606,-0.2979,0.004544,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,34,-0.1027,0.046272,0.313425,0.003782,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,35,0.000125,0.101937,-0.277075,0.008866,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,0,0.1836,0.015223,-0.1131,0.000983,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,1,0.0306,0.021613,0.021875,0.000486,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,2,-0.135525,0.034818,0.02965,0.005699,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,3,-0.082075,0.090763,-0.009325,0.001684,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,4,-0.088625,0.092245,0.031675,0.001284,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,5,-0.03755,0.034339,0.0472,0.00101,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,6,-0.015225,0.02591,-0.02365,0.001682,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,7,-0.011975,0.044815,-0.011175,0.000479,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,8,-0.0246,0.076586,-0.036425,0.00064,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,9,-0.0577,0.04671,-0.0069,0.000663,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,10,0.0243,0.046346,0.016775,0.000858,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,11,0.05265,0.054207,0.033875,0.00264,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,12,-0.163275,0.109987,-0.05995,0.000785,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,13,-0.0201,0.070493,-0.034375,0.000718,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,14,-0.003125,0.053109,-0.030125,0.001668,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,15,-0.039725,0.054214,0.0245,0.001615,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,16,0.1053,0.015475,0.031575,0.001132,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,17,0.13635,0.025056,0.055625,0.001396,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,18,-0.0277,0.079859,-0.034075,0.000519,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,19,0.03785,0.096743,-0.02415,0.00275,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,20,-0.016375,0.143214,0.00275,0.001535,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,21,0.10675,0.040799,0.06605,0.000311,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,22,0.0487,0.09039,0.074725,0.001312,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,23,-0.0125,0.011667,0.0573,0.001111,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,24,0.022075,0.165778,-0.029975,0.003296,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,25,-0.08055,0.082511,-0.021125,0.001533,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,26,-0.01795,0.086286,0.003825,0.001234,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,27,0.09495,0.09627,0.038325,0.001266,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,28,-0.0273,0.031483,0.015775,0.000995,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,29,-0.0173,0.076147,0.014125,0.001138,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,30,-0.031175,0.061408,-0.031,0.001467,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,31,-0.006675,0.039399,0.01745,0.001576,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,32,-0.063025,0.058348,0.01795,0.001471,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,33,-0.060075,0.048678,0.047125,0.001782,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,34,-0.062625,0.046835,0.08055,0.000874,4
REF_0236-28,4788,closepack36,920.5,0.9,45.0,-45.0,lcal,35,0.0059,0.097456,1.0583,0.006463,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,0,0.08425,0.135829,-1.338175,0.01118,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,1,0.09665,0.055533,0.173475,0.001725,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,2,-0.082,0.030225,-0.087575,0.008474,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,3,0.08085,0.024148,0.3945,0.007733,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,4,0.018075,0.105012,0.591625,0.012534,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,5,-0.096575,0.081568,0.529325,0.007433,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,6,0.1255,0.134119,-0.041225,0.007176,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,7,0.0473,0.02067,-0.4997,0.000698,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,8,0.055525,0.026406,0.03255,0.006565,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,9,0.0863,0.146307,0.427775,0.004152,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,10,0.142125,0.066901,0.58255,0.002009,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,11,-0.05825,0.054046,0.45375,0.019383,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,12,0.075725,0.120619,-0.0928,0.006207,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,13,0.044575,0.070023,-0.082025,0.008178,4
REF_0324-28,4788,closepack36,920.5,0.9,45.0,-45.0,bpcal,14,-0.053375,0.129819,0.070175,0.002371,4
