# dQ/dU per-beam mean correction factors
# Generated  : 2026-03-26 00:39
# Source CSV : /Users/raj030/DATA/reffield-average-qcorr/leakage_master_table.csv
# Selection  : manifest indices 30–39, excl '24-29'
# SB_REFs    : 10 contributing observations
# Ref WS     : 4788  (weights.ref_ws, holography SB)
# Footprint  : closepack36
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : -45.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   ref_ws      holography solution (weights.ref_ws); use as merge key when appending manifests
#   footprint   beam footprint name (from schedblock metadata)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     ref_ws  footprint         freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
----------------------------------------------------------------------------------------------------------------------------------------------------------
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        0    +0.2182    0.0117    -1.3339    0.0036      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        1    +0.0432    0.0218    +0.1782    0.0009      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        2    -0.1236    0.0267    -0.0801    0.0051      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        3    -0.0336    0.0727    +0.4106    0.0014      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        4    -0.0965    0.1040    +0.6017    0.0063      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        5    -0.0344    0.0389    +0.5356    0.0020      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        6    +0.0085    0.0249    -0.0411    0.0014      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        7    -0.0018    0.0482    -0.4970    0.0007      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        8    -0.0272    0.0764    +0.0246    0.0033      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal        9    -0.0516    0.0524    +0.4278    0.0012      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       10    +0.0261    0.0333    +0.5828    0.0038      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       11    +0.0349    0.0287    +0.4807    0.0078      3
REF_0236-28                 4788  closepack36          920.5     0.9000     45.0    -45.0  bpcal       12    -0.1981    0.0250    -0.0355    0.0011      3
