# dQ/dU per-beam mean correction factors
# Generated  : 2026-06-09 23:32
# Source CSV : /Users/raj030/DATA/reffield-average/ref_ws-5316-spectra-from-gsm/leakage_master_table.csv
# Selection  : manifest indices 1–20, excl '24-29'
# SB_REFs    : 20 contributing observations
# Ref WS     : 5316  (weights.ref_ws, holography SB)
# Footprint  : closepack36
# Centre Freq: 920.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : -45.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   ref_ws      holography solution (weights.ref_ws); use as merge key when appending manifests
#   footprint   beam footprint name (from schedblock metadata)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     ref_ws  footprint         freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
----------------------------------------------------------------------------------------------------------------------------------------------------------
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        0    +1.0220    0.0000    -1.6411    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        1    +0.7002    0.0000    +0.2461    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        2    -1.2550    0.0000    -0.1338    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        3    -0.5607    0.0000    +0.2887    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        4    +0.0316    0.0000    +0.3798    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        5    -0.2233    0.0000    +0.5684    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        6    +0.4643    0.0000    +0.0600    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        7    -0.0212    0.0000    -0.5802    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        8    -0.1689    0.0000    +0.0112    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal        9    +0.0250    0.0000    +0.4470    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal       10    +0.2421    0.0000    +0.6358    0.0000      1
REF_0236-28                 5316  closepack36          920.5     0.9000     45.0    -45.0  bpcal       11    -0.5730    0.0000    +0.3503    0.0000      1
