# dQ/dU per-beam mean correction factors
# Generated  : 2026-08-01 00:13
# Source CSV : /Users/raj030/DATA/reffield-average/ref_ws-5815-spectra-from-gsm/leakage_master_table.csv
# Selection  : manifest indices 0–7, excl '24-29'
# SB_REFs    : 8 contributing observations
# Ref WS     : 5815  (weights.ref_ws, holography SB)
# Footprint  : square_6x6
# Centre Freq: 1272.5 MHz
# Pitch      : 0.9 deg
# Rotation   : 45.0 deg
# Pol Axis   : -45.0 deg (pa_fixed)
#
# Lookup usage:
#   grep 'REF_1324-28.*bpcal.*  12 ' dq_du_correction_factors.txt
#
# Columns:
#   field       reference field name
#   ref_ws      holography solution (weights.ref_ws); use as merge key when appending manifests
#   footprint   beam footprint name (from schedblock metadata)
#   freq_MHz    beamformer centre frequency (MHz)
#   pitch_deg   beam footprint pitch (degrees)
#   rot_deg     footprint rotation angle (degrees)
#   pol_deg     polarisation axis angle (degrees, pa_fixed)
#   variant     calibration variant  (bpcal | lcal)
#   beam        beam index  (0–35)
#   mean_dQ     mean signed dQ/I (%) across all SB_REF × ODC observations
#   std_dQ      standard deviation of dQ/I (%)
#   mean_dU     mean signed dU/I (%) across all SB_REF × ODC observations
#   std_dU      standard deviation of dU/I (%)
#   n_obs       number of (SB_REF, ODC) data rows for this beam
#
field                     ref_ws  footprint         freq_MHz  pitch_deg  rot_deg  pol_deg  variant   beam    mean_dQ    std_dQ    mean_dU    std_dU  n_obs
----------------------------------------------------------------------------------------------------------------------------------------------------------
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        0    +0.1037    0.0059    -0.0451    0.0005      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        1    +0.0933    0.0086    -0.0461    0.0011      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        2    +0.0935    0.0060    -0.0613    0.0007      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        3    +0.0909    0.0078    -0.0616    0.0018      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        4    +0.0939    0.0093    -0.2924    0.0004      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        5    +0.0833    0.0098    +0.0181    0.0013      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        6    +0.0825    0.0059    +0.3515    0.0016      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        7    +0.0953    0.0042    +0.1653    0.0004      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        8    +0.0953    0.0043    +0.3733    0.0042      2
REF_0236-28                 5815  square_6x6          1272.5     0.9000     45.0    -45.0  bpcal        9    +0.0952    0.0096    +0.0433    0.0014      2
